timestamp,cpu_utilization,assigned_memory
00:00.0,0.072143555,0.055114746
36:45.8,0.041992188,0.006904602
08:17.8,0.000427246,0.004180908
43:02.7,0.000295639,0.002876282
00:00.0,0.000954628,0.010299683
28:53.9,0.000400543,0.002624512
46:00.8,0.013763428,0
29:35.9,0.009536743,0
00:00.0,0.004211426,0.001562119
49:39.1,0.000189781,0.001562119
08:06.8,0.000576973,0.006820679
20:41.6,0.016265869,0.004394531
57:54.6,0.00053215,0.002624512
52:47.9,0.012924194,0
12:13.5,9.16E-05,0.001241684
20:16.0,0.001049042,0.010421753
25:37.2,0.000151634,0.00668335
40:11.4,0.001411438,0.000441551
17:09.5,0,0.002624512
19:01.5,0.007324219,0.003883362
29:38.1,0.000170708,0
03:51.9,0.004501343,0
45:53.0,0.00125885,0.012832642
31:05.7,0.000270844,0.000271797
01:22.8,0,0.00207901
55:56.7,0.008178711,0.003612518
00:00.0,9.73E-05,0.003494263
10:38.8,0.001745224,0.000227928
47:51.4,0.007980347,0.006507874
14:49.2,0.000220299,0.000195503
00:00.0,0.000941277,0.000403404
00:00.0,0.000164032,0.002605438
16:37.4,0.009399414,0.001953125
29:36.7,0.011978149,0.000254631
17:42.7,0.007568359,0.004646301
17:49.1,0.015716553,0.00528717
46:25.6,0.010940552,0
20:40.1,0,0.003612518
15:28.6,0,0
03:49.9,0.000198364,0.001716614
02:53.5,0,0.000231743
16:00.9,0.011001587,0
00:00.0,0.010772705,0.014846802
08:53.4,0.025604248,0.003368378
55:17.0,0.009887695,0.003791809
19:27.0,0.004943848,0.007263184
07:09.6,0.000247002,0.023345947
30:27.9,0.001293182,0
12:12.2,0,0
04:09.3,0.020385742,0.003620148
36:46.7,0,0.006500244
18:13.5,0.000378609,0
22:41.0,0.011978149,0.000254631
01:29.3,0.073486328,0.07421875
12:20.0,0.000890732,0.005210876
54:17.7,0.000611305,0
15:44.9,0.000427246,0.000292778
24:26.4,0,0.000231743
14:26.0,0.004882813,0.001823425
36:37.5,0,0.006500244
15:18.1,0.001745224,0.000227928
10:20.7,0.012466431,0
00:00.0,0.011825562,0.016906738
58:12.3,0.024536133,0.004394531
54:47.1,0.000611305,0
19:16.0,0.000228882,0.013046265
00:00.0,0.073486328,0.07421875
56:59.3,0.000220299,0.000195503
40:27.9,0.011169434,0.006546021
29:32.9,0.000205994,0.003250122
19:10.8,0.002559662,0.008041382
41:10.3,0.000378609,0
17:54.6,0.000220299,0.000195503
41:54.0,0,0.012374878
07:39.4,0.000174522,0.00377655
20:30.8,0.000220299,0.000195503
33:26.3,0.000518799,0.005012512
47:55.3,0.002269745,0.004615784
41:57.7,0.007919312,0.00213623
48:56.6,0,0.000231743
33:10.4,0.012252808,0
35:33.1,0.000184059,0.000209808
00:00.0,0.004257202,0.002189636
00:00.0,0.000144958,0
24:16.1,0.000329018,0.001823425
08:16.7,0,0.002624512
24:55.6,0.000198364,0.001716614
38:22.7,0.024383545,0.007469177
33:48.5,0,0.012374878
12:47.0,0.000400543,0.002624512
39:01.4,0.016967773,0
00:00.0,6.77E-05,0.003242493
20:16.0,0.001049042,0.010421753
46:15.8,0.007965088,0.02041626
11:12.6,0.003997803,0.002162933
00:34.2,0.00070858,0
33:20.1,0.001995087,0
18:57.7,0.003292084,0.007362366
13:04.5,0.000301361,0
20:40.9,0.007118225,0.002624512
00:00.0,0.012802124,0.002605438
37:56.0,0.000195503,0.002605438
12:06.0,0.011016846,0
41:13.0,0.000324249,0.000535011
55:10.4,0.000124931,0.100952148
00:00.0,0.000556946,0.00026989
58:41.3,0.001091003,0.001270294
48:22.1,0.013687134,0.060974121
44:43.4,0.004943848,0.007263184
35:35.5,0,0.007614136
06:03.8,0.002365112,0.005210876
00:55.6,0.00402832,0.001256943
39:28.6,0,0.002605438
51:54.2,0.001527786,0
18:55.4,0.006095886,0
17:50.7,0.015441895,0.031799316
52:14.9,0.000427246,0.004180908
53:51.6,0,0.084960938
00:00.0,0.000619888,0
26:39.1,0.000329018,0.001823425
21:07.2,0.001745224,0.000227928
34:32.1,0,0.006500244
05:27.3,0.000220299,0.000195503
15:47.4,0.000457764,0.003498077
00:00.0,0.003376007,0.002624512
45:19.1,0.000890732,0.005210876
09:33.0,0,0.000210762
20:16.0,0.001049042,0.010421753
56:33.9,0,0
12:00.1,0.001968384,0.006500244
31:04.7,0,0.006500244
10:31.7,0.079833984,0
57:14.5,0.011505127,0
02:37.2,0.001174927,0.005241394
10:39.7,0.006874084,0.001846313
08:32.5,0.020385742,0.003620148
11:49.2,0.000220299,0.003612518
31:00.4,0,0.00220871
00:00.0,0.004486084,0.002624512
29:16.9,8.77E-05,0
00:00.0,6.77E-05,0.003242493
49:34.2,0,0.006500244
44:56.0,0.000457764,0.003498077
44:59.3,0.000890732,0.005210876
09:17.4,0.018707275,0.010421753
06:20.0,0.000400543,0.002624512
00:00.0,8.49E-05,0.003242493
54:17.1,0.000132561,0.002979279
18:16.8,0.001745224,0.000227928
44:00.5,0.000611305,0
01:36.6,0,0.006500244
00:47.9,0,0.000235558
44:00.0,0.000205994,0.003250122
38:28.4,0,0
22:53.6,0.000270844,0.000271797
04:55.1,0,0
01:10.8,0.007919312,0.00213623
50:48.6,0,0.002624512
34:39.3,0.045593262,0
58:51.1,0.075317383,0.01210022
00:00.0,7.92E-05,0.003242493
55:00.4,0.008911133,0.002605438
47:12.8,0.000154495,0.009475708
56:12.0,0.000301361,0.001470566
55:52.2,0.007232666,0
00:00.0,0.000279427,0.00881958
32:49.1,0.001192093,0
00:00.0,7.63E-05,0.003242493
20:16.0,0.001049042,0.010421753
00:00.0,0.000157356,0.005241394
00:00.0,0.000946999,0
00:00.0,0.002574921,0
00:00.0,0.000941277,0.000403404
01:14.3,0,0.012374878
56:53.0,0,0
45:44.3,0.000205994,0.003250122
00:00.0,0.000146866,0
31:38.6,0.011993408,0
13:10.7,0,0
14:53.3,0.005966187,0.002731323
00:00.0,0.004631042,0
00:00.0,0.019622803,0.010620117
50:36.6,0.000227928,0.051635742
09:22.5,0,0.002552032
48:35.2,0.029754639,0.023284912
18:10.6,0,0.000210762
34:07.3,0.00970459,0.02255249
29:27.3,0.020385742,0.003620148
59:06.0,0.000850677,0.000281334
43:54.6,0.000315666,0.002605438
48:12.4,0.02331543,0
10:53.4,0.010513306,0.003639221
34:30.0,0.000396729,0.016265869
